"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"29-Sep-2021","    17657.95","    17781.75","    17608.15","    17711.30","      562237732","        30621.28"
"30-Sep-2021","    17718.90","    17742.15","    17585.35","    17618.15","      378592721","        27167.19"
"01-Oct-2021","    17531.90","    17557.15","    17452.90","    17532.05","      305763919","        20911.61"
"04-Oct-2021","    17615.55","    17750.90","    17581.35","    17691.25","      295761839","        21343.51"
"05-Oct-2021","    17661.35","    17833.45","    17640.90","    17822.30","      427000191","        23066.80"
"06-Oct-2021","    17861.50","    17884.60","    17613.15","    17646.00","      395833550","        24504.30"
"07-Oct-2021","    17810.55","    17857.55","    17763.80","    17790.35","      419890959","        27371.98"
"08-Oct-2021","    17886.85","    17941.85","    17840.35","    17895.20","      324066351","        22778.68"
"11-Oct-2021","    17867.55","    18041.95","    17839.10","    17945.95","      375756457","        29000.20"
"12-Oct-2021","    17915.80","    18008.65","    17864.95","    17991.95","      355568313","        26491.42"
"13-Oct-2021","    18097.85","    18197.80","    18050.75","    18161.75","      506679748","        34503.00"
"14-Oct-2021","    18272.85","    18350.75","    18248.70","    18338.55","      538714440","        38903.16"
"18-Oct-2021","    18500.10","    18543.15","    18445.30","    18477.05","      469883515","        36800.84"
"19-Oct-2021","    18602.35","    18604.45","    18377.70","    18418.75","      368230309","        30505.86"
"20-Oct-2021","    18439.90","    18458.30","    18209.35","    18266.60","      371276478","        28968.42"
"21-Oct-2021","    18382.70","    18384.20","    18048.00","    18178.10","      365902008","        30839.79"
"22-Oct-2021","    18230.70","    18314.25","    18034.35","    18114.90","      324748084","        26938.88"
"25-Oct-2021","    18229.50","    18241.40","    17968.50","    18125.40","      418703647","        34572.34"
"26-Oct-2021","    18154.50","    18310.45","    18099.30","    18268.40","      341377869","        29764.61"
"27-Oct-2021","    18295.85","    18342.05","    18167.90","    18210.95","      335248487","        30823.75"
"28-Oct-2021","    18187.65","    18190.70","    17799.45","    17857.25","      374205784","        30222.34"
"29-Oct-2021","    17833.05","    17915.85","    17613.10","    17671.65","      336466864","        28136.00"
"01-Nov-2021","    17783.15","    17954.10","    17697.10","    17929.65","      281190130","        24354.38"
"02-Nov-2021","    17970.90","    18012.25","    17847.60","    17888.95","      296441997","        23371.51"
"03-Nov-2021","    17947.95","    17988.75","    17757.95","    17829.20","      330995982","        26186.85"
"04-Nov-2021","    17935.05","    17947.55","    17900.60","    17916.80","       48520856","         3637.06"
"08-Nov-2021","    18040.20","    18087.80","    17836.10","    18068.55","      338919483","        30908.23"
"09-Nov-2021","    18084.35","    18112.60","    17983.05","    18044.25","      270197527","        23686.09"
"10-Nov-2021","    17973.45","    18061.25","    17915.00","    18017.20","      261446523","        22281.11"
"11-Nov-2021","    17967.45","    17971.35","    17798.20","    17873.60","      232121151","        20074.78"
"12-Nov-2021","    17977.60","    18123.00","    17905.90","    18102.75","      249111898","        22164.33"
"15-Nov-2021","    18140.95","    18210.15","    18071.30","    18109.45","      280428633","        19099.60"
"16-Nov-2021","    18127.05","    18132.65","    17958.80","    17999.20","      267431829","        24101.67"
"17-Nov-2021","    17939.35","    18022.65","    17879.25","    17898.65","      295715938","        22950.84"
"18-Nov-2021","    17890.55","    17945.60","    17688.50","    17764.80","      278425148","        22625.36"
"22-Nov-2021","    17796.25","    17805.25","    17280.45","    17416.55","      356400425","        29570.57"
"23-Nov-2021","    17281.75","    17553.70","    17216.10","    17503.35","      308843255","        26240.41"
"24-Nov-2021","    17550.05","    17600.60","    17354.00","    17415.05","      298052158","        23766.93"
"25-Nov-2021","    17417.30","    17564.35","    17351.70","    17536.25","      255947032","        21953.33"
"26-Nov-2021","    17338.75","    17355.40","    16985.70","    17026.45","      356330009","        28485.53"
"29-Nov-2021","    17055.80","    17160.70","    16782.40","    17053.95","      348888750","        27428.20"
"30-Nov-2021","    17051.15","    17324.65","    16931.40","    16983.20","      497999836","        41494.90"
"01-Dec-2021","    17104.40","    17213.05","    17064.25","    17166.90","      295542125","        24098.73"
"02-Dec-2021","    17183.20","    17420.35","    17149.30","    17401.65","      279867500","        22473.64"
"03-Dec-2021","    17424.90","    17489.80","    17180.80","    17196.70","      292526485","        23100.57"
"06-Dec-2021","    17209.05","    17216.75","    16891.70","    16912.25","      231716681","        17912.15"
"07-Dec-2021","    17044.10","    17251.65","    16987.75","    17176.70","      254144221","        21693.69"
"08-Dec-2021","    17315.25","    17484.60","    17308.95","    17469.75","      257791948","        21665.95"
"09-Dec-2021","    17524.40","    17543.25","    17379.60","    17516.85","      237170272","        18984.75"
"10-Dec-2021","    17476.05","    17534.35","    17405.25","    17511.30","      204467484","        16399.53"
"13-Dec-2021","    17619.10","    17639.50","    17355.95","    17368.25","      256560534","        20592.03"
"14-Dec-2021","    17283.20","    17376.20","    17225.80","    17324.90","      270965586","        20459.79"
"15-Dec-2021","    17323.65","    17351.20","    17192.20","    17221.40","      214972109","        17046.42"
"16-Dec-2021","    17373.00","    17379.35","    17184.95","    17248.40","      219496063","        18493.54"
"17-Dec-2021","    17276.00","    17298.15","    16966.45","    16985.20","      354591366","        31326.91"
"20-Dec-2021","    16824.25","    16840.10","    16410.20","    16614.20","      330614079","        25123.59"
"21-Dec-2021","    16773.15","    16936.40","    16688.25","    16770.85","      241030834","        19783.04"
"22-Dec-2021","    16865.55","    16971.00","    16819.50","    16955.45","      207946105","        17443.94"
"23-Dec-2021","    17066.80","    17118.65","    17015.55","    17072.60","      196965302","        15755.89"
"24-Dec-2021","    17149.50","    17155.60","    16909.60","    17003.75","      182564833","        15435.01"
"27-Dec-2021","    16937.75","    17112.05","    16833.20","    17086.25","      144777457","        12567.03"
"28-Dec-2021","    17177.60","    17250.25","    17161.15","    17233.25","      176026100","        14553.76"
"29-Dec-2021","    17220.10","    17285.95","    17176.65","    17213.60","      161679423","        14320.79"
"30-Dec-2021","    17201.45","    17264.05","    17146.35","    17203.95","      320831676","        21929.19"
"31-Dec-2021","    17244.50","    17400.80","    17238.50","    17354.05","      167025720","        14588.54"
"03-Jan-2022","    17387.15","    17646.65","    17383.30","    17625.70","      200456430","        16181.36"
"04-Jan-2022","    17681.40","    17827.60","    17593.55","    17805.25","      247437472","        18604.16"
"05-Jan-2022","    17820.10","    17944.70","    17748.85","    17925.25","      251460038","        23737.31"
"06-Jan-2022","    17768.50","    17797.95","    17655.55","    17745.90","      236454824","        22643.82"
"07-Jan-2022","    17797.60","    17905.00","    17704.55","    17812.70","      239338015","        21447.89"
"10-Jan-2022","    17913.30","    18017.45","    17879.15","    18003.30","      232418075","        20853.64"
"11-Jan-2022","    17997.75","    18081.25","    17964.40","    18055.75","      220238796","        20781.46"
"12-Jan-2022","    18170.40","    18227.95","    18128.80","    18212.35","      244974287","        22298.69"
"13-Jan-2022","    18257.00","    18272.25","    18163.80","    18257.80","      303700545","        28670.93"
"14-Jan-2022","    18185.00","    18286.95","    18119.65","    18255.75","      229451608","        21024.51"
"17-Jan-2022","    18235.65","    18321.55","    18228.75","    18308.10","      266702919","        23859.38"
"18-Jan-2022","    18337.20","    18350.95","    18085.90","    18113.05","      227507319","        20852.67"
"19-Jan-2022","    18129.20","    18129.20","    17884.90","    17938.40","      276662654","        25310.19"
"20-Jan-2022","    17921.00","    17943.70","    17648.45","    17757.00","      258094246","        25863.29"
"21-Jan-2022","    17613.70","    17707.60","    17485.85","    17617.15","      277645373","        25941.64"
"24-Jan-2022","    17575.15","    17599.40","    16997.85","    17149.10","      323847388","        28387.73"
"25-Jan-2022","    17001.55","    17309.15","    16836.80","    17277.95","      326515896","        31344.46"
"27-Jan-2022","    17062.00","    17182.50","    16866.75","    17110.15","      395596577","        36296.64"
"28-Jan-2022","    17208.30","    17373.50","    17077.10","    17101.95","      355284285","        29799.89"
"31-Jan-2022","    17301.05","    17410.00","    17264.15","    17339.85","      321660346","        25474.13"
"01-Feb-2022","    17529.45","    17622.40","    17244.55","    17576.85","      386391485","        30033.66"
"02-Feb-2022","    17706.20","    17794.60","    17674.80","    17780.00","      271205907","        23611.59"
"03-Feb-2022","    17767.75","    17781.15","    17511.15","    17560.20","      226614989","        20373.06"
"04-Feb-2022","    17590.20","    17617.80","    17462.55","    17516.30","      261434170","        20651.85"
"07-Feb-2022","    17456.30","    17536.75","    17119.40","    17213.60","      265037933","        21925.11"
"08-Feb-2022","    17279.85","    17306.45","    17043.65","    17266.75","      268526210","        23846.16"
"09-Feb-2022","    17370.10","    17477.15","    17339.00","    17463.80","      236350514","        19327.67"
"10-Feb-2022","    17554.10","    17639.45","    17427.15","    17605.85","      273606440","        22210.93"
"11-Feb-2022","    17451.00","    17454.75","    17303.00","    17374.75","      253141660","        23230.82"
"14-Feb-2022","    17076.15","    17099.50","    16809.65","    16842.80","      305510740","        24976.16"
"15-Feb-2022","    16933.25","    17375.00","    16839.25","    17352.45","      298658142","        24765.67"
"16-Feb-2022","    17408.45","    17490.60","    17257.70","    17322.20","      244549223","        21128.38"
"17-Feb-2022","    17396.55","    17442.90","    17235.85","    17304.60","      232136131","        19381.26"
"18-Feb-2022","    17236.05","    17380.80","    17219.20","    17276.30","      189620888","        16126.96"
"21-Feb-2022","    17192.25","    17351.05","    17070.70","    17206.65","      215183301","        18725.57"
"22-Feb-2022","    16847.95","    17148.55","    16843.80","    17092.20","      300131995","        24040.84"
"23-Feb-2022","    17194.50","    17220.70","    17027.85","    17063.25","      200229631","        17662.47"
"24-Feb-2022","    16548.90","    16705.25","    16203.25","    16247.95","      457967874","        36650.83"
"25-Feb-2022","    16515.65","    16748.80","    16478.30","    16658.40","      329780732","        25743.77"
"28-Feb-2022","    16481.60","    16815.90","    16356.30","    16793.90","      404214666","        33831.57"
"02-Mar-2022","    16593.10","    16678.50","    16478.65","    16605.95","      517723542","        39407.44"
"03-Mar-2022","    16723.20","    16768.95","    16442.95","    16498.05","      442068263","        31413.00"
"04-Mar-2022","    16339.45","    16456.00","    16133.80","    16245.35","      456143040","        34821.10"
"07-Mar-2022","    15867.95","    15944.60","    15711.45","    15863.15","      585403660","        38038.75"
"08-Mar-2022","    15747.75","    16028.75","    15671.45","    16013.45","      543600673","        38704.40"
"09-Mar-2022","    16078.00","    16418.05","    15990.00","    16345.35","      462231428","        35329.34"
"10-Mar-2022","    16757.10","    16757.30","    16447.90","    16594.90","      486445481","        35513.73"
"11-Mar-2022","    16528.80","    16694.40","    16470.90","    16630.45","      343717045","        24720.34"
"14-Mar-2022","    16633.70","    16887.95","    16606.50","    16871.30","      314669685","        23824.02"
"15-Mar-2022","    16900.65","    16927.75","    16555.00","    16663.00","      381631902","        29731.09"
"16-Mar-2022","    16876.65","    16987.90","    16837.85","    16975.35","      259973396","        21361.32"
"17-Mar-2022","    17202.90","    17344.60","    17175.75","    17287.05","      448335248","        35367.28"
"21-Mar-2022","    17329.50","    17353.35","    17096.40","    17117.60","      285451208","        22886.39"
"22-Mar-2022","    17120.40","    17334.40","    17006.30","    17315.50","      338263468","        27347.60"
"23-Mar-2022","    17405.05","    17442.40","    17199.60","    17245.65","      292120348","        24705.28"
"24-Mar-2022","    17094.95","    17291.75","    17091.15","    17222.75","      290280124","        25011.72"
"25-Mar-2022","    17289.00","    17294.90","    17076.55","    17153.00","      237115741","        20031.39"
"28-Mar-2022","    17181.85","    17235.10","    17003.90","    17222.00","      253240837","        19976.26"
"29-Mar-2022","    17297.20","    17343.65","    17235.70","    17325.30","      235149625","        20305.78"
"30-Mar-2022","    17468.15","    17522.50","    17387.20","    17498.25","      505031841","        28907.47"
"31-Mar-2022","    17519.20","    17559.80","    17435.20","    17464.75","      281111679","        24032.07"
"01-Apr-2022","    17436.90","    17703.70","    17422.70","    17670.45","      291773447","        21132.13"
"04-Apr-2022","    17809.10","    18114.65","    17791.40","    18053.40","      345526502","        38623.94"
"05-Apr-2022","    18080.60","    18095.45","    17921.55","    17957.40","      283453612","        25096.70"
"06-Apr-2022","    17842.75","    17901.00","    17779.85","    17807.65","      328824420","        24252.48"
"07-Apr-2022","    17723.30","    17787.50","    17623.70","    17639.55","      308840215","        26236.91"
"08-Apr-2022","    17698.15","    17842.75","    17600.55","    17784.35","      274447433","        25608.10"
"11-Apr-2022","    17740.90","    17779.05","    17650.95","    17674.95","      251701846","        21001.58"
"12-Apr-2022","    17584.85","    17595.30","    17442.35","    17530.30","      266029060","        23958.77"
"13-Apr-2022","    17599.90","    17663.65","    17457.40","    17475.65","      245061941","        20229.83"
"18-Apr-2022","    17183.45","    17237.75","    17067.85","    17173.65","      376130248","        30154.62"
"19-Apr-2022","    17258.95","    17275.65","    16824.70","    16958.65","      401399563","        35467.13"
"20-Apr-2022","    17045.25","    17186.90","    16978.95","    17136.55","      286069736","        25972.15"
"21-Apr-2022","    17234.60","    17414.70","    17215.50","    17392.60","      285200022","        24999.90"
"22-Apr-2022","    17242.75","    17315.30","    17149.20","    17171.95","      262739740","        23371.70"
"25-Apr-2022","    17009.05","    17054.30","    16888.70","    16953.95","      275685925","        22699.65"
"26-Apr-2022","    17121.30","    17223.85","    17064.45","    17200.80","      261065753","        22079.92"
"27-Apr-2022","    17073.35","    17110.70","    16958.45","    17038.40","      265140480","        25373.80"
"28-Apr-2022","    17189.50","    17322.50","    17071.05","    17245.05","      312914417","        28488.87"
"29-Apr-2022","    17329.25","    17377.65","    17053.25","    17102.55","      336243642","        29582.86"
"02-May-2022","    16924.45","    17092.25","    16917.25","    17069.10","      278155513","        21222.64"
"04-May-2022","    17096.60","    17132.85","    16623.95","    16677.60","      310632799","        27405.52"
"05-May-2022","    16854.75","    16945.70","    16651.85","    16682.65","      265793403","        21792.91"
"06-May-2022","    16415.55","    16484.20","    16340.90","    16411.25","      300527719","        25472.95"
"09-May-2022","    16227.70","    16403.70","    16142.10","    16301.85","      288402950","        23274.74"
"10-May-2022","    16248.90","    16404.55","    16197.30","    16240.05","      283061200","        22685.27"
"11-May-2022","    16270.05","    16318.75","    15992.60","    16167.10","      284294438","        22994.38"
"12-May-2022","    16021.10","    16041.95","    15735.75","    15808.00","      314921678","        25352.34"
"13-May-2022","    15977.00","    16083.60","    15740.85","    15782.15","      369135540","        27454.12"
"16-May-2022","    15845.10","    15977.95","    15739.65","    15842.30","      217646558","        17852.19"
"17-May-2022","    15912.60","    16284.25","    15900.80","    16259.30","      295687774","        22782.99"
"18-May-2022","    16318.15","    16399.80","    16211.20","    16240.30","      290441105","        23889.84"
"19-May-2022","    15917.40","    15984.75","    15775.20","    15809.40","      313876082","        24340.84"
"20-May-2022","    16043.80","    16283.05","    16003.85","    16266.15","      252402013","        22806.69"
"23-May-2022","    16290.95","    16414.70","    16185.75","    16214.70","      293829853","        25110.85"
"24-May-2022","    16225.55","    16262.80","    16078.60","    16125.15","      249778296","        21895.75"
"25-May-2022","    16196.35","    16223.35","    16006.95","    16025.80","      243342347","        21400.14"
"26-May-2022","    16105.00","    16204.45","    15903.70","    16170.15","      314305739","        27721.21"
"27-May-2022","    16296.60","    16370.60","    16221.95","    16352.45","      274064956","        21341.98"
"30-May-2022","    16527.90","    16695.50","    16506.15","    16661.40","      251400757","        21216.50"
"31-May-2022","    16578.45","    16690.75","    16521.90","    16584.55","      651613610","        52929.35"
"01-Jun-2022","    16594.40","    16649.20","    16438.85","    16522.75","      249619038","        19350.33"
"02-Jun-2022","    16481.65","    16646.40","    16443.05","    16628.00","      235958283","        20055.84"
"03-Jun-2022","    16761.65","    16793.85","    16567.90","    16584.30","      245514871","        22249.29"
"06-Jun-2022","    16530.70","    16610.95","    16444.55","    16569.55","      233589132","        17999.41"
"07-Jun-2022","    16469.60","    16487.25","    16347.10","    16416.35","      233814633","        17921.95"
"08-Jun-2022","    16474.95","    16514.30","    16293.35","    16356.25","      243481044","        18336.15"
"09-Jun-2022","    16263.85","    16492.80","    16243.85","    16478.10","      204954394","        16721.68"
"10-Jun-2022","    16283.95","    16324.70","    16172.60","    16201.80","      189680523","        18388.03"
"13-Jun-2022","    15877.55","    15886.15","    15684.00","    15774.40","      225534385","        20002.64"
"14-Jun-2022","    15674.25","    15858.00","    15659.45","    15732.10","      225425862","        19825.41"
"15-Jun-2022","    15729.25","    15783.65","    15678.90","    15692.15","      183011236","        16063.24"
"16-Jun-2022","    15832.25","    15863.15","    15335.10","    15360.60","      264735957","        21383.06"
"17-Jun-2022","    15272.65","    15400.40","    15183.40","    15293.50","      342629997","        29074.00"
"20-Jun-2022","    15334.50","    15382.50","    15191.10","    15350.15","      260022438","        18531.78"
"21-Jun-2022","    15455.95","    15707.25","    15419.85","    15638.80","      262794687","        18934.27"
"22-Jun-2022","    15545.65","    15565.40","    15385.95","    15413.30","      220889589","        16817.07"
"23-Jun-2022","    15451.55","    15628.45","    15367.50","    15556.65","      259171810","        21722.06"
"24-Jun-2022","    15657.40","    15749.25","    15619.45","    15699.25","      219599372","        18259.72"
"27-Jun-2022","    15926.20","    15927.45","    15815.50","    15832.05","      210932505","        17770.42"
"28-Jun-2022","    15757.45","    15892.10","    15710.15","    15850.20","      251865155","        18419.75"
"29-Jun-2022","    15701.70","    15861.60","    15687.80","    15799.10","      444949551","        22528.57"
"30-Jun-2022","    15774.50","    15890.00","    15728.85","    15780.25","      306027777","        23970.65"
"01-Jul-2022","    15703.70","    15793.95","    15511.05","    15752.05","      364090131","        25891.94"
